{'BatchDate': '2020-02-08 16:36:13', 'StartingDate': '2020-02-08 15:35:59', 'EndingDate': '2020-02-08 16:36:02', 'Delay': '1h0min', 'nRT': 10119, 'nInf': 1809, 'nFam': 2335, 'nUse': 7535}
{'BatchDate': '2020-02-08 17:36:13', 'StartingDate': '2020-02-08 16:36:02', 'EndingDate': '2020-02-08 17:36:00', 'Delay': '0h59min', 'nRT': 11947, 'nInf': 1875, 'nFam': 2430, 'nUse': 8894}
{'BatchDate': '2020-02-08 18:36:14', 'StartingDate': '2020-02-08 17:36:00', 'EndingDate': '2020-02-08 18:36:02', 'Delay': '1h0min', 'nRT': 13360, 'nInf': 1958, 'nFam': 2510, 'nUse': 9847}
{'BatchDate': '2020-02-08 19:36:12', 'StartingDate': '2020-02-08 18:36:02', 'EndingDate': '2020-02-08 19:36:02', 'Delay': '1h0min', 'nRT': 13587, 'nInf': 1940, 'nFam': 2547, 'nUse': 9954}
{'BatchDate': '2020-02-08 20:36:13', 'StartingDate': '2020-02-08 19:36:03', 'EndingDate': '2020-02-08 20:36:00', 'Delay': '0h59min', 'nRT': 12560, 'nInf': 1977, 'nFam': 2530, 'nUse': 9394}
{'BatchDate': '2020-02-08 21:36:18', 'StartingDate': '2020-02-08 20:36:00', 'EndingDate': '2020-02-08 21:36:05', 'Delay': '1h0min', 'nRT': 12010, 'nInf': 2006, 'nFam': 2549, 'nUse': 9181}
{'BatchDate': '2020-02-08 22:36:13', 'StartingDate': '2020-02-08 21:36:05', 'EndingDate': '2020-02-08 22:36:02', 'Delay': '0h59min', 'nRT': 12458, 'nInf': 2010, 'nFam': 2524, 'nUse': 9447}
{'BatchDate': '2020-02-08 23:36:14', 'StartingDate': '2020-02-08 22:36:03', 'EndingDate': '2020-02-08 23:36:02', 'Delay': '0h59min', 'nRT': 13297, 'nInf': 1982, 'nFam': 2511, 'nUse': 9969}
{'BatchDate': '2020-02-09 00:36:13', 'StartingDate': '2020-02-08 23:36:02', 'EndingDate': '2020-02-09 00:36:00', 'Delay': '0h59min', 'nRT': 12025, 'nInf': 1838, 'nFam': 2357, 'nUse': 9086}
{'BatchDate': '2020-02-09 01:36:12', 'StartingDate': '2020-02-09 00:35:56', 'EndingDate': '2020-02-09 01:36:02', 'Delay': '1h0min', 'nRT': 8880, 'nInf': 1549, 'nFam': 1946, 'nUse': 6829}
{'BatchDate': '2020-02-09 02:36:09', 'StartingDate': '2020-02-09 01:36:02', 'EndingDate': '2020-02-09 02:35:57', 'Delay': '0h59min', 'nRT': 6137, 'nInf': 1144, 'nFam': 1407, 'nUse': 4763}
{'BatchDate': '2020-02-09 03:36:08', 'StartingDate': '2020-02-09 02:35:57', 'EndingDate': '2020-02-09 03:35:57', 'Delay': '1h0min', 'nRT': 3591, 'nInf': 829, 'nFam': 978, 'nUse': 2848}
{'BatchDate': '2020-02-09 04:36:08', 'StartingDate': '2020-02-09 03:35:59', 'EndingDate': '2020-02-09 04:35:59', 'Delay': '1h0min', 'nRT': 2476, 'nInf': 753, 'nFam': 854, 'nUse': 1846}
{'BatchDate': '2020-02-09 05:36:07', 'StartingDate': '2020-02-09 04:36:03', 'EndingDate': '2020-02-09 05:35:52', 'Delay': '0h59min', 'nRT': 1632, 'nInf': 510, 'nFam': 586, 'nUse': 1213}
