{'Fam': {'RefFam_memory': '218,691', 'RefFam_rows': '1,296', 'RefFam_authors': '1,070', 'RefFam_tweets': '1,296', 'RefFam_datemin': '2015-09-21 13:44:43', 'RefFam_datemax': '2020-02-08 03:10:08'}, 'RT': {'RefRT_memory': '103,827', 'RefRT_rows': '2,052', 'RefRT_tweets': '730', 'RefRT_users': '1,577', 'RefRT_authors': '608', 'RefRT_datemin': '2020-02-08 02:30:41', 'RefRT_datemax': '2020-02-08 03:11:10'}, 'Inf': {'RefInf_memory': '246,795', 'RefInf_rows': '1,594', 'RefInf_authors': '1,594'}}
{'Fam': {'RefFam_memory': '230,788', 'RefFam_rows': '1,372', 'RefFam_authors': '1,131', 'RefFam_tweets': '1,372', 'RefFam_datemin': '2015-09-21 13:44:43', 'RefFam_datemax': '2020-02-08 03:25:25'}, 'RT': {'RefRT_memory': '69,218', 'RefRT_rows': '1,360', 'RefRT_tweets': '575', 'RefRT_users': '1,089', 'RefRT_authors': '495', 'RefRT_datemin': '2020-02-08 02:55:44', 'RefRT_datemax': '2020-02-08 03:29:34'}, 'Inf': {'RefInf_memory': '260,787', 'RefInf_rows': '1,685', 'RefInf_authors': '1,685'}}
{'Fam': {'RefFam_memory': '217,603', 'RefFam_rows': '1,291', 'RefFam_authors': '1,071', 'RefFam_tweets': '1,291', 'RefFam_datemin': '2015-09-21 13:44:43', 'RefFam_datemax': '2020-02-08 03:40:15'}, 'RT': {'RefRT_memory': '57,068', 'RefRT_rows': '1,117', 'RefRT_tweets': '490', 'RefRT_users': '899', 'RefRT_authors': '426', 'RefRT_datemin': '2020-02-08 03:10:41', 'RefRT_datemax': '2020-02-08 03:42:22'}, 'Inf': {'RefInf_memory': '268,108', 'RefInf_rows': '1,731', 'RefInf_authors': '1,731'}}
{'Fam': {'RefFam_memory': '218,231', 'RefFam_rows': '1,295', 'RefFam_authors': '1,074', 'RefFam_tweets': '1,295', 'RefFam_datemin': '2015-09-21 13:44:43', 'RefFam_datemax': '2020-02-08 03:40:32'}, 'RT': {'RefRT_memory': '57,875', 'RefRT_rows': '1,133', 'RefRT_tweets': '495', 'RefRT_users': '910', 'RefRT_authors': '431', 'RefRT_datemin': '2020-02-08 03:10:41', 'RefRT_datemax': '2020-02-08 03:42:37'}, 'Inf': {'RefInf_memory': '268,583', 'RefInf_rows': '1,734', 'RefInf_authors': '1,734'}}
{'Fam': {'RefFam_memory': '225,991', 'RefFam_rows': '1,341', 'RefFam_authors': '1,119', 'RefFam_tweets': '1,341', 'RefFam_datemin': '2015-09-21 13:44:43', 'RefFam_datemax': '2020-02-08 04:01:43'}, 'RT': {'RefRT_memory': '62,075', 'RefRT_rows': '1,217', 'RefRT_tweets': '515', 'RefRT_users': '944', 'RefRT_authors': '457', 'RefRT_datemin': '2020-02-08 03:25:41', 'RefRT_datemax': '2020-02-08 04:02:16'}, 'Inf': {'RefInf_memory': '280,747', 'RefInf_rows': '1,824', 'RefInf_authors': '1,824'}}
{'Fam': {'RefFam_memory': '1,093,565', 'RefFam_rows': '6,409', 'RefFam_authors': '4,714', 'RefFam_tweets': '6,409', 'RefFam_datemin': '2014-07-31 09:39:21', 'RefFam_datemax': '2020-02-08 11:21:45'}, 'RT': {'RefRT_memory': '2,112,543', 'RefRT_rows': '42,225', 'RefRT_tweets': '5,976', 'RefRT_users': '27,024', 'RefRT_authors': '4,409', 'RefRT_datemin': '2020-02-08 03:45:41', 'RefRT_datemax': '2020-02-08 11:22:53'}, 'Inf': {'RefInf_memory': '807,047', 'RefInf_rows': '5,123', 'RefInf_authors': '5,123'}}
{'Fam': {'RefFam_memory': '1,198,210', 'RefFam_rows': '7,044', 'RefFam_authors': '5,159', 'RefFam_tweets': '7,044', 'RefFam_datemin': '2014-07-31 09:39:21', 'RefFam_datemax': '2020-02-08 11:57:41'}, 'RT': {'RefRT_memory': '531,779', 'RefRT_rows': '10,611', 'RefRT_tweets': '2,213', 'RefRT_users': '8,134', 'RefRT_authors': '1,793', 'RefRT_datemin': '2020-02-08 11:05:42', 'RefRT_datemax': '2020-02-08 11:58:10'}, 'Inf': {'RefInf_memory': '873,908', 'RefInf_rows': '5,573', 'RefInf_authors': '5,573'}}
{'Fam': {'RefFam_memory': '752,805', 'RefFam_rows': '4,457', 'RefFam_authors': '3,420', 'RefFam_tweets': '4,457', 'RefFam_datemin': '2015-08-28 12:08:52', 'RefFam_datemax': '2020-02-08 12:16:11'}, 'RT': {'RefRT_memory': '392,623', 'RefRT_rows': '7,828', 'RefRT_tweets': '1,795', 'RefRT_users': '6,064', 'RefRT_authors': '1,470', 'RefRT_datemin': '2020-02-08 11:40:41', 'RefRT_datemax': '2020-02-08 12:17:43'}, 'Inf': {'RefInf_memory': '906,997', 'RefInf_rows': '5,804', 'RefInf_authors': '5,804'}}
{'Fam': {'RefFam_memory': '896,274', 'RefFam_rows': '5,341', 'RefFam_authors': '4,055', 'RefFam_tweets': '5,341', 'RefFam_datemin': '2014-09-01 12:29:42', 'RefFam_datemax': '2020-02-08 13:26:18'}, 'RT': {'RefRT_memory': '886,143', 'RefRT_rows': '17,698', 'RefRT_tweets': '3,131', 'RefRT_users': '13,028', 'RefRT_authors': '2,484', 'RefRT_datemin': '2020-02-08 12:00:41', 'RefRT_datemax': '2020-02-08 13:27:03'}, 'Inf': {'RefInf_memory': '1,020,720', 'RefInf_rows': '6,606', 'RefInf_authors': '6,606'}}
{'Fam': {'RefFam_memory': '897,130', 'RefFam_rows': '5,343', 'RefFam_authors': '4,054', 'RefFam_tweets': '5,343', 'RefFam_datemin': '2014-09-01 12:29:42', 'RefFam_datemax': '2020-02-08 13:43:00'}, 'RT': {'RefRT_memory': '363,523', 'RefRT_rows': '7,246', 'RefRT_tweets': '1,680', 'RefRT_users': '5,675', 'RefRT_authors': '1,393', 'RefRT_datemin': '2020-02-08 13:10:41', 'RefRT_datemax': '2020-02-08 13:43:47'}, 'Inf': {'RefInf_memory': '1,049,797', 'RefInf_rows': '6,810', 'RefInf_authors': '6,810'}}
