{'Date': '2020-02-11 13:47:00', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 12039, 'Nombre de tweets uniques': 1031, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 07:13:10', 'Date du dernier retweet enregistré après analyse': '2020-02-11 13:13:05', 'TFIDF, Taille du vocabulaire': 26050, 'TFIDF, Nombre de tweets scannés': 10251}
{'Date': '2020-02-11 14:46:02', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 12039, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 13:13:05', 'Date du dernier retweet enregistré après analyse': '2020-02-11 13:13:05', 'TFIDF, Taille du vocabulaire': 26050, 'TFIDF, Nombre de tweets scannés': 10251}
{'Date': '2020-02-11 15:46:22', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 12508, 'Nombre de tweets uniques': 397, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 13:13:05', 'Date du dernier retweet enregistré après analyse': '2020-02-11 13:13:05', 'TFIDF, Taille du vocabulaire': 26050, 'TFIDF, Nombre de tweets scannés': 10251}
{'Date': '2020-02-11 16:45:56', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 12508, 'Nombre de tweets uniques': 397, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 13:13:05', 'Date du dernier retweet enregistré après analyse': '2020-02-11 13:13:05', 'TFIDF, Taille du vocabulaire': 26050, 'TFIDF, Nombre de tweets scannés': 10251}
{'Date': '2020-02-11 17:46:08', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 13111, 'Nombre de tweets uniques': 996, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 13:13:05', 'Date du dernier retweet enregistré après analyse': '2020-02-11 13:13:05', 'TFIDF, Taille du vocabulaire': 26050, 'TFIDF, Nombre de tweets scannés': 10251}
{'Date': '2020-02-11 18:45:59', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 13111, 'Nombre de tweets uniques': 996, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 13:13:05', 'Date du dernier retweet enregistré après analyse': '2020-02-11 13:13:05', 'TFIDF, Taille du vocabulaire': 26050, 'TFIDF, Nombre de tweets scannés': 10251}
{'Date': '2020-02-11 19:46:47', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 13704, 'Nombre de tweets uniques': 1584, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 13:13:05', 'Date du dernier retweet enregistré après analyse': '2020-02-11 19:13:46', 'TFIDF, Taille du vocabulaire': 28915, 'TFIDF, Nombre de tweets scannés': 11821}
{'Date': '2020-02-11 20:46:11', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 13704, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 19:13:46', 'Date du dernier retweet enregistré après analyse': '2020-02-11 19:13:46', 'TFIDF, Taille du vocabulaire': 28915, 'TFIDF, Nombre de tweets scannés': 11821}
{'Date': '2020-02-11 21:46:10', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 14209, 'Nombre de tweets uniques': 462, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 19:13:46', 'Date du dernier retweet enregistré après analyse': '2020-02-11 19:13:46', 'TFIDF, Taille du vocabulaire': 28915, 'TFIDF, Nombre de tweets scannés': 11821}
{'Date': '2020-02-11 22:45:57', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 14209, 'Nombre de tweets uniques': 462, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 19:13:46', 'Date du dernier retweet enregistré après analyse': '2020-02-11 19:13:46', 'TFIDF, Taille du vocabulaire': 28915, 'TFIDF, Nombre de tweets scannés': 11821}
