{'Date': '2020-02-11 19:46:05', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 13:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 8346, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 27}
{'Date': '2020-02-11 20:45:53', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 27}
{'Date': '2020-02-11 21:45:55', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 15:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 5758, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 29}
{'Date': '2020-02-11 22:45:42', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 29}
{'Date': '2020-02-11 23:45:52', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 17:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2000, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 31}
{'Date': '2020-02-12 00:45:39', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 31}
{'Date': '2020-02-12 01:45:48', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 19:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2152, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 33}
{'Date': '2020-02-12 02:45:39', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 33}
{'Date': '2020-02-12 03:45:47', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 21:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2146, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 35}
{'Date': '2020-02-12 04:45:39', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 35}
{'Date': '2020-02-12 05:45:48', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-11 23:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1933, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 37}
{'Date': '2020-02-12 06:45:42', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 37}
{'Date': '2020-02-12 07:46:29', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 01:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1743, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 39}
{'Date': '2020-02-12 08:46:17', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 39}
{'Date': '2020-02-12 09:46:35', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 03:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1940, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 41}
{'Date': '2020-02-12 10:46:11', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 41}
{'Date': '2020-02-12 11:46:49', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 05:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1993, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 43}
{'Date': '2020-02-12 12:46:32', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 43}
{'Date': '2020-02-12 13:46:39', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 07:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 6502, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 45}
{'Date': '2020-02-12 14:45:54', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 45}
{'Date': '2020-02-12 15:46:11', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 09:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 10876, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 47}
{'Date': '2020-02-12 16:45:47', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 47}
