{'Date': '2020-02-11 15:46:40', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 20493, 'Nombre de lignes total rajoutées, statswords': 2023, 'Nombre de tweets, FinalFam': 12508, "Nombre d'auteurs, FinalInf": 7527, 'Nombre de dataframes de type graph so far': 49, 'Nombre de dataframes de type tfidf so far': 49}
{'Date': '2020-02-11 16:46:11', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 12508, "Nombre d'auteurs, FinalInf": 7527, 'Nombre de dataframes de type graph so far': 49, 'Nombre de dataframes de type tfidf so far': 49}
{'Date': '2020-02-11 17:46:25', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 13362, 'Nombre de lignes total rajoutées, statswords': 1948, 'Nombre de tweets, FinalFam': 13111, "Nombre d'auteurs, FinalInf": 7785, 'Nombre de dataframes de type graph so far': 53, 'Nombre de dataframes de type tfidf so far': 53}
{'Date': '2020-02-11 18:46:16', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 13111, "Nombre d'auteurs, FinalInf": 7785, 'Nombre de dataframes de type graph so far': 53, 'Nombre de dataframes de type tfidf so far': 53}
{'Date': '2020-02-11 19:47:17', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 5982, 'Nombre de lignes total rajoutées, statswords': 2026, 'Nombre de tweets, FinalFam': 13704, "Nombre d'auteurs, FinalInf": 8046, 'Nombre de dataframes de type graph so far': 57, 'Nombre de dataframes de type tfidf so far': 57}
{'Date': '2020-02-11 20:46:29', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 13704, "Nombre d'auteurs, FinalInf": 8046, 'Nombre de dataframes de type graph so far': 57, 'Nombre de dataframes de type tfidf so far': 57}
{'Date': '2020-02-11 21:46:30', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1004, 'Nombre de lignes total rajoutées, statswords': 1645, 'Nombre de tweets, FinalFam': 14209, "Nombre d'auteurs, FinalInf": 8216, 'Nombre de dataframes de type graph so far': 61, 'Nombre de dataframes de type tfidf so far': 61}
{'Date': '2020-02-11 22:46:13', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 14209, "Nombre d'auteurs, FinalInf": 8216, 'Nombre de dataframes de type graph so far': 61, 'Nombre de dataframes de type tfidf so far': 61}
{'Date': '2020-02-11 23:46:28', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1153, 'Nombre de lignes total rajoutées, statswords': 1530, 'Nombre de tweets, FinalFam': 14726, "Nombre d'auteurs, FinalInf": 8396, 'Nombre de dataframes de type graph so far': 65, 'Nombre de dataframes de type tfidf so far': 65}
{'Date': '2020-02-12 00:46:08', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 14726, "Nombre d'auteurs, FinalInf": 8396, 'Nombre de dataframes de type graph so far': 65, 'Nombre de dataframes de type tfidf so far': 65}
{'Date': '2020-02-12 01:46:36', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1114, 'Nombre de lignes total rajoutées, statswords': 1788, 'Nombre de tweets, FinalFam': 15245, "Nombre d'auteurs, FinalInf": 8561, 'Nombre de dataframes de type graph so far': 69, 'Nombre de dataframes de type tfidf so far': 69}
{'Date': '2020-02-12 02:46:08', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 15245, "Nombre d'auteurs, FinalInf": 8561, 'Nombre de dataframes de type graph so far': 69, 'Nombre de dataframes de type tfidf so far': 69}
{'Date': '2020-02-12 03:46:21', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 969, 'Nombre de lignes total rajoutées, statswords': 1615, 'Nombre de tweets, FinalFam': 15761, "Nombre d'auteurs, FinalInf": 8748, 'Nombre de dataframes de type graph so far': 73, 'Nombre de dataframes de type tfidf so far': 73}
{'Date': '2020-02-12 04:46:08', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 15761, "Nombre d'auteurs, FinalInf": 8748, 'Nombre de dataframes de type graph so far': 73, 'Nombre de dataframes de type tfidf so far': 73}
{'Date': '2020-02-12 05:46:21', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 834, 'Nombre de lignes total rajoutées, statswords': 1553, 'Nombre de tweets, FinalFam': 16245, "Nombre d'auteurs, FinalInf": 8924, 'Nombre de dataframes de type graph so far': 77, 'Nombre de dataframes de type tfidf so far': 77}
{'Date': '2020-02-12 06:46:12', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 16245, "Nombre d'auteurs, FinalInf": 8924, 'Nombre de dataframes de type graph so far': 77, 'Nombre de dataframes de type tfidf so far': 77}
{'Date': '2020-02-12 07:47:20', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 2662, 'Nombre de lignes total rajoutées, statswords': 1839, 'Nombre de tweets, FinalFam': 16893, "Nombre d'auteurs, FinalInf": 9147, 'Nombre de dataframes de type graph so far': 81, 'Nombre de dataframes de type tfidf so far': 81}
{'Date': '2020-02-12 08:46:47', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 16893, "Nombre d'auteurs, FinalInf": 9147, 'Nombre de dataframes de type graph so far': 81, 'Nombre de dataframes de type tfidf so far': 81}
{'Date': '2020-02-12 09:47:12', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 13737, 'Nombre de lignes total rajoutées, statswords': 1846, 'Nombre de tweets, FinalFam': 17370, "Nombre d'auteurs, FinalInf": 9347, 'Nombre de dataframes de type graph so far': 85, 'Nombre de dataframes de type tfidf so far': 85}
{'Date': '2020-02-12 10:46:41', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 17370, "Nombre d'auteurs, FinalInf": 9347, 'Nombre de dataframes de type graph so far': 85, 'Nombre de dataframes de type tfidf so far': 85}
{'Date': '2020-02-12 11:47:25', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 20554, 'Nombre de lignes total rajoutées, statswords': 1911, 'Nombre de tweets, FinalFam': 17712, "Nombre d'auteurs, FinalInf": 9482, 'Nombre de dataframes de type graph so far': 89, 'Nombre de dataframes de type tfidf so far': 89}
{'Date': '2020-02-12 12:47:02', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 17712, "Nombre d'auteurs, FinalInf": 9482, 'Nombre de dataframes de type graph so far': 89, 'Nombre de dataframes de type tfidf so far': 89}
